status_number,rep,case,path,genetic_response
40,14,no_contamination,G:/내 드라이브/GitHub/OptOrch/03_manuscript_reproduction/004_figures/figure3_genetic_response/../../002_scenario1_status_number/outputs/ns_40/rep_14/summary.csv,1.17575630016313
40,15,no_contamination,G:/내 드라이브/GitHub/OptOrch/03_manuscript_reproduction/004_figures/figure3_genetic_response/../../002_scenario1_status_number/outputs/ns_40/rep_15/summary.csv,1.22854955338174
40,16,no_contamination,G:/내 드라이브/GitHub/OptOrch/03_manuscript_reproduction/004_figures/figure3_genetic_response/../../002_scenario1_status_number/outputs/ns_40/rep_16/summary.csv,1.38631172856644
40,17,no_contamination,G:/내 드라이브/GitHub/OptOrch/03_manuscript_reproduction/004_figures/figure3_genetic_response/../../002_scenario1_status_number/outputs/ns_40/rep_17/summary.csv,1.13345283015079
40,18,no_contamination,G:/내 드라이브/GitHub/OptOrch/03_manuscript_reproduction/004_figures/figure3_genetic_response/../../002_scenario1_status_number/outputs/ns_40/rep_18/summary.csv,1.12792415999013
40,19,no_contamination,G:/내 드라이브/GitHub/OptOrch/03_manuscript_reproduction/004_figures/figure3_genetic_response/../../002_scenario1_status_number/outputs/ns_40/rep_19/summary.csv,1.50682751438575
40,20,no_contamination,G:/내 드라이브/GitHub/OptOrch/03_manuscript_reproduction/004_figures/figure3_genetic_response/../../002_scenario1_status_number/outputs/ns_40/rep_20/summary.csv,1.32567560969312
40,21,no_contamination,G:/내 드라이브/GitHub/OptOrch/03_manuscript_reproduction/004_figures/figure3_genetic_response/../../002_scenario1_status_number/outputs/ns_40/rep_21/summary.csv,1.13629089371083
40,22,no_contamination,G:/내 드라이브/GitHub/OptOrch/03_manuscript_reproduction/004_figures/figure3_genetic_response/../../002_scenario1_status_number/outputs/ns_40/rep_22/summary.csv,1.23670743492691
40,23,no_contamination,G:/내 드라이브/GitHub/OptOrch/03_manuscript_reproduction/004_figures/figure3_genetic_response/../../002_scenario1_status_number/outputs/ns_40/rep_23/summary.csv,1.19231891728754
