"","solution","std.error","z.ratio"
"vm(ID, ginv)_No_519507",0.731347434079277,0.799929103175101,0.914265315734097
"vm(ID, ginv)_No_519508",0.303307421118124,0.792455601920717,0.382743740321833
"vm(ID, ginv)_No_519509",1.04579469557148,0.799816612948928,1.3075431025565
"vm(ID, ginv)_No_519510",0.704108879152803,0.824720355786688,0.853754699047248
"vm(ID, ginv)_No_519511",0.495036783469367,0.792721494030462,0.62447755888696
"vm(ID, ginv)_No_519512",0.530794351706405,0.795078566186163,0.667599875384041
"vm(ID, ginv)_No_519513",0.429115086909759,0.803168429307313,0.534277831711895
"vm(ID, ginv)_No_519514",0.700345189242733,0.814774819593426,0.859556741815126
"vm(ID, ginv)_No_519515",0.172726926109943,0.786252401531427,0.219683813713654
"vm(ID, ginv)_No_519516",0.157585628015735,0.822261378116488,0.191649069516931
"vm(ID, ginv)_No_519517",0.678143490048985,0.817534985441123,0.829497822265153
"vm(ID, ginv)_No_519518",0.647479899462198,0.798423879042786,0.810947563640568
"vm(ID, ginv)_No_519519",0.882505830347629,0.820185439679256,1.07598329311082
"vm(ID, ginv)_No_519520",0.600674610589506,0.812521525170505,0.73927224323498
"vm(ID, ginv)_No_519521",1.22384179780494,0.814660109170806,1.50227289151376
"vm(ID, ginv)_No_519522",1.24176853147133,0.822856577107369,1.50909473900857
"vm(ID, ginv)_No_519523",0.142061152911137,0.810895647570194,0.175190424731981
"vm(ID, ginv)_No_519524",0.27291237732867,0.790648137479951,0.345175514102302
"vm(ID, ginv)_No_519525",0.375377570752762,0.79605111998897,0.471549579325964
"vm(ID, ginv)_No_519526",0.51485108218274,0.807864937521296,0.637298461995906
"vm(ID, ginv)_No_519527",0.147545459090131,0.794248870616233,0.185767288501972
"vm(ID, ginv)_No_519528",0.822549903817937,0.789683182074466,1.04162013639081
"vm(ID, ginv)_No_519529",0.901736047933448,0.80789455564564,1.11615561911147
"vm(ID, ginv)_No_519530",0.831620283169132,0.825121972828197,1.00787557543603
"vm(ID, ginv)_No_519531",0.803312502256442,0.79080628366273,1.01581451595932
"vm(ID, ginv)_No_519532",0.317958019284133,0.796268298470425,0.399310157009777
"vm(ID, ginv)_No_519533",0.284854034919274,0.818373949309839,0.348073194606819
"vm(ID, ginv)_No_519534",0.130264741171958,0.800667077532304,0.162695263521314
"vm(ID, ginv)_No_519535",0.119772467679579,0.792671271451839,0.151099796338281
"vm(ID, ginv)_No_519536",0.498953397700588,0.80916602278199,0.616626728820296
"vm(ID, ginv)_No_519537",-0.348726036938359,0.815827324890452,-0.427450792954485
"vm(ID, ginv)_No_519538",-0.119838656189997,0.780793599940124,-0.153483143559562
"vm(ID, ginv)_No_519539",1.10523453331337,0.82426120042619,1.34087899896526
"vm(ID, ginv)_No_519540",0.290626587026556,0.812350770978471,0.357759969472915
"vm(ID, ginv)_No_519541",-0.104380289598927,0.819615755017072,-0.127352712487515
"vm(ID, ginv)_No_519542",0.11594610697177,0.784098735979699,0.147871819773947
"vm(ID, ginv)_No_519543",0.798145146468368,0.800197737537444,0.997434895185542
